Simulation,Predator,PredatorStage,Source,TimeMeanPercent,NTimeStepsObserved
0,SkateRays,"SkateRays in [0.000000, 37.500000[",Benthos,75.98127705,20
0,SkateRays,"SkateRays in [0.000000, 37.500000[",Fish,24.01872216133438,20
0,SkateRays,"SkateRays in [0.000000, 37.500000[",Plankton,0,20
0,SkateRays,"SkateRays in [37.500000, inf[",Benthos,49.4972171,20
0,SkateRays,"SkateRays in [37.500000, inf[",Fish,50.502782641341035,20
0,SkateRays,"SkateRays in [37.500000, inf[",Plankton,0,20
0,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Benthos,58.83576055,20
0,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Fish,41.16423944320183,20
0,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Plankton,0,20
0,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Benthos,48.8397418,20
0,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Fish,51.1602578796491,20
0,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Plankton,0,20
0,Squids,"Squids in [0.000000, 5.000000[",Benthos,0,20
0,Squids,"Squids in [0.000000, 5.000000[",Fish,8.986340195537,20
0,Squids,"Squids in [0.000000, 5.000000[",Plankton,91.0136597563,20
0,Squids,"Squids in [15.000000, inf[",Benthos,0,20
0,Squids,"Squids in [15.000000, inf[",Fish,99.99999989051365,20
0,Squids,"Squids in [15.000000, inf[",Plankton,0,20
0,Squids,"Squids in [5.000000, 15.000000[",Benthos,0,20
0,Squids,"Squids in [5.000000, 15.000000[",Fish,90.684849134215,20
0,Squids,"Squids in [5.000000, 15.000000[",Plankton,9.315151307582,20
0,StripedBass,"StripedBass in [0.000000, 5.000000[",Benthos,0,20
0,StripedBass,"StripedBass in [0.000000, 5.000000[",Fish,0.3126449933288461,20
0,StripedBass,"StripedBass in [0.000000, 5.000000[",Plankton,99.68735549415,20
0,StripedBass,"StripedBass in [5.000000, 50.000000[",Benthos,33.2897447,20
0,StripedBass,"StripedBass in [5.000000, 50.000000[",Fish,37.11541902229538,20
0,StripedBass,"StripedBass in [5.000000, 50.000000[",Plankton,29.594836395716015,20
0,StripedBass,"StripedBass in [50.000000, inf[",Benthos,0.0066921443975999995,20
0,StripedBass,"StripedBass in [50.000000, inf[",Fish,99.99330765746515,20
0,StripedBass,"StripedBass in [50.000000, inf[",Plankton,0,20
0,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Benthos,34.81968576470588,17
0,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Fish,2.549826633389908,17
0,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Plankton,62.630487156294116,17
0,WhitePerch,"WhitePerch in [14.250000, inf[",Benthos,26.8487361375,16
0,WhitePerch,"WhitePerch in [14.250000, inf[",Fish,73.1512644236014,16
0,WhitePerch,"WhitePerch in [14.250000, inf[",Plankton,0,16
0,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Benthos,75.11460376923077,13
0,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Fish,24.88539589828461,13
0,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Plankton,0,13
0,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Benthos,30.480825499999998,20
0,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Fish,0.13597034268255,20
0,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Plankton,69.3832045,20
0,WinterFlounder,"WinterFlounder in [26.799999, inf[",Benthos,0,20
0,WinterFlounder,"WinterFlounder in [26.799999, inf[",Fish,100.00000001604275,20
0,WinterFlounder,"WinterFlounder in [26.799999, inf[",Plankton,0,20
0,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Benthos,87.4938125,20
0,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Fish,11.579605924958082,20
0,WinterFlounder,"WinterFlounder in [5.000000, 26.799999[",Plankton,0.9265817500000001,20
1,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Benthos,0,20
1,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Fish,0.33326155741724595,20
1,AtlanticHerring,"AtlanticHerring in [0.000000, 5.000000[",Plankton,99.6667386831,20
1,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Benthos,0,20
1,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Fish,37.16214037628653,20
1,AtlanticHerring,"AtlanticHerring in [16.700001, inf[",Plankton,62.83786,20
1,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Benthos,0,20
1,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Fish,4.221509223760585,20
1,AtlanticHerring,"AtlanticHerring in [5.000000, 16.700001[",Plankton,95.7784905606797,20
1,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Benthos,0,20
1,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Fish,0.10280420191739587,20
1,AtlanticMackerel,"AtlanticMackerel in [0.000000, 5.000000[",Plankton,99.8971956921,20
1,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Benthos,0,20
1,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Fish,74.4767904267,20
1,AtlanticMackerel,"AtlanticMackerel in [28.700001, inf[",Plankton,25.5232092,20
1,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Benthos,0,20
1,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Fish,27.890779326467428,20
1,AtlanticMackerel,"AtlanticMackerel in [5.000000, 28.700001[",Plankton,72.10922174567,20
1,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Benthos,64.471458,2
1,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Fish,0.7295019282965685,2
1,AtlanticTomcod,"AtlanticTomcod in [0.000000, 5.000000[",Plankton,34.799041000749995,2
1,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Benthos,55.279407500000005,2
1,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Fish,44.720591762699385,2
1,AtlanticTomcod,"AtlanticTomcod in [15.000000, inf[",Plankton,0,2
1,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Benthos,92.763745,2
1,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Fish,7.23625672480777,2
1,AtlanticTomcod,"AtlanticTomcod in [5.000000, 15.000000[",Plankton,0,2
1,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Benthos,0,20
1,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Fish,0.3804153322131471,20
1,Benthopelagics,"Benthopelagics in [0.000000, 2.000000[",Plankton,99.6195849856,20
1,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Benthos,0,20
1,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Fish,0.17701242657754326,20
1,Benthopelagics,"Benthopelagics in [2.000000, 4.000000[",Plankton,99.822987604255,20
1,Benthopelagics,"Benthopelagics in [4.000000, inf[",Benthos,0,20
1,Benthopelagics,"Benthopelagics in [4.000000, inf[",Fish,0.6452085709034054,20
1,Benthopelagics,"Benthopelagics in [4.000000, inf[",Plankton,99.35479189627401,20
1,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Benthos,24.4372263,20
1,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Fish,1.2084560863419769,20
1,BlackSeaBass,"BlackSeaBass in [0.000000, 5.000000[",Plankton,74.3543175469,20
1,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Benthos,38.43283395,20
1,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Fish,61.567166190689164,20
1,BlackSeaBass,"BlackSeaBass in [19.100000, inf[",Plankton,0,20
1,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Benthos,67.6352056,20
1,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Fish,31.88917119958795,20
1,BlackSeaBass,"BlackSeaBass in [5.000000, 19.100000[",Plankton,0.47562502277029994,20
1,Flounders,"Flounders in [0.000000, 5.000000[",Benthos,21.8592395,20
1,Flounders,"Flounders in [0.000000, 5.000000[",Fish,1.71362018630559,20
1,Flounders,"Flounders in [0.000000, 5.000000[",Plankton,76.42713954999999,20
1,Flounders,"Flounders in [35.000000, inf[",Benthos,0,20
1,Flounders,"Flounders in [35.000000, inf[",Fish,100.00000058770046,20
1,Flounders,"Flounders in [35.000000, inf[",Plankton,0,20
1,Flounders,"Flounders in [5.000000, 35.000000[",Benthos,80.936946,20
1,Flounders,"Flounders in [5.000000, 35.000000[",Fish,19.063054035881624,20
1,Flounders,"Flounders in [5.000000, 35.000000[",Plankton,0,20
1,Goosefish,"Goosefish in [0.000000, 5.000000[",Benthos,0,20
1,Goosefish,"Goosefish in [0.000000, 5.000000[",Fish,0.4368287731089147,20
1,Goosefish,"Goosefish in [0.000000, 5.000000[",Plankton,99.5631720612,20
1,Goosefish,"Goosefish in [46.500000, inf[",Benthos,0,20
1,Goosefish,"Goosefish in [46.500000, inf[",Fish,100.00000030735964,20
1,Goosefish,"Goosefish in [46.500000, inf[",Plankton,0,20
1,Goosefish,"Goosefish in [5.000000, 46.500000[",Benthos,37.71707092,20
1,Goosefish,"Goosefish in [5.000000, 46.500000[",Fish,23.457581534016644,20
1,Goosefish,"Goosefish in [5.000000, 46.500000[",Plankton,38.825347825,20
1,Hakes,"Hakes in [0.000000, 5.000000[",Benthos,28.3046627,20
1,Hakes,"Hakes in [0.000000, 5.000000[",Fish,2.4522671808203667,20
1,Hakes,"Hakes in [0.000000, 5.000000[",Plankton,69.2430702025,20
1,Hakes,"Hakes in [23.200001, inf[",Benthos,0,20
1,Hakes,"Hakes in [23.200001, inf[",Fish,99.99999993392753,20
1,Hakes,"Hakes in [23.200001, inf[",Plankton,0,20
1,Hakes,"Hakes in [5.000000, 23.200001[",Benthos,69.13652019999999,20
1,Hakes,"Hakes in [5.000000, 23.200001[",Fish,30.863479060684178,20
1,Hakes,"Hakes in [5.000000, 23.200001[",Plankton,0,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Benthos,60.13247183,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Fish,0.3148656274600724,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [0.000000, 5.000000[",Plankton,39.55266220361,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Benthos,69.46319295,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Fish,30.536807534695647,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [17.500000, inf[",Plankton,0,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Benthos,84.42545505,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Fish,4.172220839050828,20
1,MiscellaneousDemersals,"MiscellaneousDemersals in [5.000000, 17.500000[",Plankton,11.4023248196615,20
1,Scup,"Scup in [0.000000, 5.000000[",Benthos,79.925512,20
1,Scup,"Scup in [0.000000, 5.000000[",Fish,0.28857412021690215,20
1,Scup,"Scup in [0.000000, 5.000000[",Plankton,19.785913716485,20
1,Scup,"Scup in [15.500000, inf[",Benthos,66.4203552,20
1,Scup,"Scup in [15.500000, inf[",Fish,33.579645644496466,20
1,Scup,"Scup in [15.500000, inf[",Plankton,0,20
1,Scup,"Scup in [5.000000, 15.500000[",Benthos,78.60604545,20
1,Scup,"Scup in [5.000000, 15.500000[",Fish,21.393954747856835,20
1,Scup,"Scup in [5.000000, 15.500000[",Plankton,0,20
1,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Benthos,0,20
1,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Fish,0.5049231335896252,20
1,ShallowDemersal,"ShallowDemersal in [0.000000, 5.000000[",Plankton,99.4950775755,20
1,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Benthos,0,20
1,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Fish,77.8765801614565,20
1,ShallowDemersal,"ShallowDemersal in [22.100000, inf[",Plankton,22.123419675,20
1,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Benthos,0,20
1,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Fish,18.050867524179687,20
1,ShallowDemersal,"ShallowDemersal in [5.000000, 22.100000[",Plankton,81.949132153747,20
1,SkateRays,"SkateRays in [0.000000, 37.500000[",Benthos,76.29833525000001,20
1,SkateRays,"SkateRays in [0.000000, 37.500000[",Fish,23.70166482699352,20
1,SkateRays,"SkateRays in [0.000000, 37.500000[",Plankton,0,20
1,SkateRays,"SkateRays in [37.500000, inf[",Benthos,50.2069555,20
1,SkateRays,"SkateRays in [37.500000, inf[",Fish,49.79304437695266,20
1,SkateRays,"SkateRays in [37.500000, inf[",Plankton,0,20
1,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Benthos,59.34744965,20
1,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Fish,40.652550256654344,20
1,SpinyDogfish,"SpinyDogfish in [0.000000, 80.900002[",Plankton,0,20
1,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Benthos,48.9705541,20
1,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Fish,51.02944561056136,20
1,SpinyDogfish,"SpinyDogfish in [80.900002, inf[",Plankton,0,20
1,Squids,"Squids in [0.000000, 5.000000[",Benthos,0,20
1,Squids,"Squids in [0.000000, 5.000000[",Fish,8.59811266313565,20
1,Squids,"Squids in [0.000000, 5.000000[",Plankton,91.401887917825,20
1,Squids,"Squids in [15.000000, inf[",Benthos,0,20
1,Squids,"Squids in [15.000000, inf[",Fish,100.000000166015,20
1,Squids,"Squids in [15.000000, inf[",Plankton,0,20
1,Squids,"Squids in [5.000000, 15.000000[",Benthos,0,20
1,Squids,"Squids in [5.000000, 15.000000[",Fish,90.7351931869,20
1,Squids,"Squids in [5.000000, 15.000000[",Plankton,9.2648067932645,20
1,StripedBass,"StripedBass in [0.000000, 5.000000[",Benthos,0,20
1,StripedBass,"StripedBass in [0.000000, 5.000000[",Fish,0.2908356490282148,20
1,StripedBass,"StripedBass in [0.000000, 5.000000[",Plankton,99.70916385445,20
1,StripedBass,"StripedBass in [5.000000, 50.000000[",Benthos,37.38109525,20
1,StripedBass,"StripedBass in [5.000000, 50.000000[",Fish,38.70227589646092,20
1,StripedBass,"StripedBass in [5.000000, 50.000000[",Plankton,23.91662863735,20
1,StripedBass,"StripedBass in [50.000000, inf[",Benthos,0.00638680968605,20
1,StripedBass,"StripedBass in [50.000000, inf[",Fish,99.9936134292722,20
1,StripedBass,"StripedBass in [50.000000, inf[",Plankton,0,20
1,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Benthos,66.421429,4
1,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Fish,7.15989292665363,4
1,WhitePerch,"WhitePerch in [0.000000, 5.000000[",Plankton,26.4186774731,4
1,WhitePerch,"WhitePerch in [14.250000, inf[",Benthos,62.673853333333334,3
1,WhitePerch,"WhitePerch in [14.250000, inf[",Fish,37.32614854332622,3
1,WhitePerch,"WhitePerch in [14.250000, inf[",Plankton,0,3
1,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Benthos,69.5006945,6
1,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Fish,30.499305350334932,6
1,WhitePerch,"WhitePerch in [5.000000, 14.250000[",Plankton,0,6
1,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Benthos,31.2568846,20
1,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Fish,0.1384115985020778,20
1,WinterFlounder,"WinterFlounder in [0.000000, 5.000000[",Plankton,68.60470365,20
1,WinterFlounder,"WinterFlounder in [26.799999, inf[",Benthos,0,20
1,WinterFlounder,"WinterFlounder in [26.799999, inf[",Fish,99.9999992202985,20
