"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","AtlanticHerring in [0.000000, 4.000000[","AtlanticHerring in [4.000000, 16.700001[","AtlanticHerring in [16.700001, inf[","AtlanticMackerel in [0.000000, 1.700000[","AtlanticMackerel in [1.700000, 28.700001[","AtlanticMackerel in [28.700001, inf[","BlackSeaBass in [0.000000, 2.800000[","BlackSeaBass in [2.800000, 19.100000[","BlackSeaBass in [19.100000, inf[","Scup in [0.000000, 1.000000[","Scup in [1.000000, 15.500000[","Scup in [15.500000, inf[","SpinyDogfish in [0.000000, 80.900002[","SpinyDogfish in [80.900002, inf[","StripedBass in [0.000000, 5.000000[","StripedBass in [5.000000, 50.000000[","StripedBass in [50.000000, inf[","Goosefish in [0.000000, 5.000000[","Goosefish in [5.000000, 46.500000[","Goosefish in [46.500000, inf[","WinterFlounder in [0.000000, 0.780000[","WinterFlounder in [0.780000, 26.799999[","WinterFlounder in [26.799999, inf[","Squids in [0.000000, 1.900000[","Squids in [1.900000, 15.000000[","Squids in [15.000000, inf[","Flounders in [0.000000, 1.600000[","Flounders in [1.600000, 35.000000[","Flounders in [35.000000, inf[","SkateRays in [0.000000, 37.500000[","SkateRays in [37.500000, inf[","Hakes in [0.000000, 2.100000[","Hakes in [2.100000, 23.200001[","Hakes in [23.200001, inf[","Benthopelagics in [0.000000, 2.000000[","Benthopelagics in [2.000000, 4.000000[","Benthopelagics in [4.000000, inf[","MiscellaneousDemersals in [0.000000, 2.200000[","MiscellaneousDemersals in [2.200000, 17.500000[","MiscellaneousDemersals in [17.500000, inf[","ShallowDemersal in [0.000000, 2.300000[","ShallowDemersal in [2.300000, 22.100000[","ShallowDemersal in [22.100000, inf[","WhitePerch in [0.000000, 1.750000[","WhitePerch in [1.750000, 14.250000[","WhitePerch in [14.250000, inf[","AtlanticTomcod in [0.000000, 1.900000[","AtlanticTomcod in [1.900000, 15.000000[","AtlanticTomcod in [15.000000, inf["
1.0,"WinterFlounder in [0.000000, 0.780000[",0.0015083187,0.09092204,0.0,NaN,0.08081184,0.0,0.38632452,0.10981542,0.0,0.0,1.0867756E-4,0.0,0.0,0.0,0.73981905,1.2155895E-6,0.0,0.121579014,0.0,0.0,NaN,0.0,0.0,1.2368317,1.2798665,0.0,NaN,0.0,0.0,0.0,0.0,2.4477913E-4,0.0,0.0,0.0042742426,0.0,0.0,0.5007931,0.0,0.0,0.99060965,1.3534875,0.0,0.084330626,0.0,0.0,NaN,0.0,0.0
1.0,"WinterFlounder in [0.780000, 26.799999[",0.0,0.30191442,4.753175,NaN,0.10484413,10.495176,0.0,0.04568428,1.9583243,0.0,4.1382955E-4,1.9583288,2.1362596,2.2947876,0.0,2.0662398,1.5159036,0.0,1.1828818,0.83952993,NaN,2.1598728E-4,2.3359363,0.0,8.0069475,7.8595123,NaN,0.34496617,2.7858493,1.9593983,2.4356432,0.0,0.2151518,2.5708616,0.0,0.0,0.0,0.0,0.17118362,1.1015576,0.0,5.9236714E-4,12.616738,0.0,0.0011132923,2.8690886,NaN,0.0,0.16869582
1.0,"WinterFlounder in [26.799999, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00604996,0.08245308,0.0,0.0015359526,0.5032319,0.0,0.015536708,0.5643868,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0018625477,0.0,0.0064718933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Squids in [0.000000, 1.900000[",0.08365907,0.956452,0.85381645,NaN,2.9179652,0.0,0.020308737,0.007423131,0.0,0.0,0.058001872,0.0,7.243591,7.02937,0.008649582,0.0017170355,0.0,0.026879698,0.0,0.0,NaN,0.0,0.0,0.0746506,10.024983,0.0,NaN,0.0,0.0,1.9386498,1.8016723,0.027081538,3.3857257,0.0,0.08505478,0.005632196,0.0,0.04254912,0.0060523273,0.0,0.03813563,0.09774473,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Squids in [1.900000, 15.000000[",0.0,0.07939161,1.754485,NaN,0.25333852,15.683169,0.0,0.024715029,20.986322,0.0,9.641539E-4,17.530027,15.712558,14.5670395,0.0,19.541937,18.96266,0.0,14.563856,9.317908,NaN,0.0012677094,19.015255,0.0,7.1884794,25.248075,NaN,0.351042,18.518019,13.028832,18.630333,0.0,0.2695048,17.993135,0.0,0.0,0.0,0.0,0.23210569,16.379066,0.0,5.735471E-4,14.359855,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Squids in [15.000000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,3.419531,0.0,0.0,0.45382088,1.4883329,3.1338353,0.0,3.3659341,5.4828515,0.0,3.9011006,6.594178,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,7.9973097,0.33498663,3.7753024,0.0,0.0,7.7607894,0.0,0.0,0.0,0.0,0.0,0.0029181768,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"Flounders in [0.000000, 1.600000[",1.1201007,0.040210214,0.0,NaN,0.0,0.0,0.02944998,0.008788937,0.0,0.0,0.0019267985,0.0,0.0,0.0,0.0,0.0,0.0,0.22627154,0.0,0.0,NaN,0.0,0.0,0.40791315,1.0809115,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.009306975,0.0,0.35329527,0.6691162,0.41134828,0.26734036,0.21026956,0.0,0.33673948,0.017166339,0.0,0.01598714,0.016387984,0.0,NaN,0.0,0.0
1.0,"Flounders in [1.600000, 35.000000[",0.0,0.0,0.72443455,NaN,0.042620726,2.8300726,0.0,2.2462711E-5,2.1164777,0.0,6.4875414E-5,2.0238967,0.65644145,0.87413806,0.0,1.6426553,3.348022,0.0,1.7967247,4.4664464,NaN,4.0190702E-5,4.253332,0.0,2.0072129,1.448856,NaN,0.0632731,2.8432155,0.43080652,0.95465046,0.0,0.01688552,3.3992536,0.0,0.0,0.0,0.0,2.8757108E-4,2.1085434,0.0,4.575144E-4,3.9709246,0.0,3.8766313E-5,0.7252193,NaN,0.0,0.73820317
1.0,"Flounders in [35.000000, inf[",0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030710986,0.36034843,0.0,0.0,0.14027892,0.0,0.0,1.7667489,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0
1.0,"SkateRays in [0.000000, 37.500000[",0.0,0.0,0.038364578,NaN,0.004382548,1.2221041,0.0,9.771711E-6,1.4306405,0.0,1.7053084E-6,1.2004879,0.15021469,0.9224762,0.0,0.4533135,4.014109,0.0,1.6307014,8.207403,NaN,1.2305887E-5,1.313629,0.0,0.7769825,2.3638372,NaN,0.0015361459,5.460347,0.0021080323,0.05555258,0.0,7.0556375E-4,5.399912,0.0,0.0,0.0,0.0,7.718324E-5,1.0319475,0.0,3.7589936E-5,2.1586502,0.0,0.0,0.0,NaN,0.0,0.0
