population.initialization.biomass.sp15 = 5.31500000000001,,,,,,,,,,,,,,,,,,,
population.initialization.biomass.sp16 = 1.881,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp0 = 0.000216144191862406,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp1 = 0.00288840769015034,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp2 = 0.00758407157418372,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp3 = 0.00707686412785247,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp4 = 0.0543650638480827,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp5 = 0.00253873764201312,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp6 = 0.000722376682661381,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp7 = 0.00755611304777939,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp8 = 0.0318401690898343,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp9 = 0.0863962973608347,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp10 = 0.00238538784976508,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp11 = 0.000278523461674467,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp12 = 0.000346526304265726,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp13 = 0.16362343823153,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp14 = 0.0259984497538332,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp15 = 0.170314976673211,,,,,,,,,,,,,,,,,,,
mortality.additional.rate.sp16 = 0.198626895300853,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp0 = 4.1803310686248,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp1 = 128.309200212328,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp2 = 16.1684565356186,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp3 = 0.365875133054383,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp5 = 363.693715733339,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp6 = 199.745874266215,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp7 = 3.76772072037159,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp8 = 0.521054470931246,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp9 = 54.8998764883363,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp10 = 115.0697470899899,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp11 = 0.186286697372947,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp12 = 1.14447743758259,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp13 = 1.94222259992831,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp14 = 1.21762833926411,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp15 = 0.433493046319593,,,,,,,,,,,,,,,,,,,
mortality.additional.larva.rate.sp16 = 24.02681628829624,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp0 = 13.0544214851327,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp1 = 17.499106054404,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp2 = 22.2420307181588,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp3 = 20.2859341399713,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp4 = 30.2452945208137,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp5 = 36.3224232421672,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp6 = 49.5866509091333,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp7 = 3.37758830757062,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp8 = 7.20565374073096,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp9 = 3.88886103394367,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp10 = 18.5111460151249,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp11 = 17.2883673390967,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp12 = 5.10513824731129,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp13 = 18.4475355878404,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp14 = 15.4896355511773,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp15 = 13.4664660620286,,,,,,,,,,,,,,,,,,,
predation.ingestion.rate.max.sp16 = 10.1902295549493,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp0 = 1.29299340204807,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp1 = 1.41960059465367,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp2 = 1.22907960415807,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp3 = 1.66648826107527,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp4 = 0.863762535113452,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp5 = 1.61519348990235,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp6 = 1.06993287701445,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp7 = 0.943332027096355,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp8 = 1.92468814330469,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp9 = 1.37903283892883,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp10 = 1.64647599466197,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp11 = 1.87757879420637,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp12 = 1.49408437918118,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp13 = 0.776138625926959,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp14 = 1.67219012760319,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp15 = 0.725685034836397,,,,,,,,,,,,,,,,,,,
species.delta.lmax.factor.sp16 = 1.54441884103175,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh0 = 1.67310179581644,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh0 = 0.360000000000001,0.41,0.38,0.47,0.47,0.47,0.58,0.56,0.59,0.95,0.73,0.61,0.61,0.66,0.51,0.48,0.48,0.47,0.57,0.25
fisheries.selectivity.l50.fsh0 = 20,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh1 = 0.397686767108504,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh1 = 1.10906578549985,0.565175621,0.65648831,0.263676038,0.375340225,0.911630077,0.273548538,1.026342427,0.847957369,0.616779399,0.230970668,0.692690818,0.520383709,0.314756496,0.199615772,0.48573854,0.360362144,0.278684432,0.443496343,0.625261201
fisheries.selectivity.l50.fsh1 = 34.44,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh2 = 0.368141738595203,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh2 = 0.54,0.63,0.65,0.57,0.57,0.51,0.54,0.55,0.48,0.65,0.73,0.4,0.58,0.54,0.4,0.3,0.33,0.51,0.36,0.39
fisheries.selectivity.l50.fsh2 = 41.91,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh3 = 0.336655563473753,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh3 = 0.270000000000001,0.14,0.1,0.14,0.12,0.07,0.09,0.09,0.05,0.06,0.08,0.08,0.08,0.11,0.09,0.12,0.09,0.1,0.08,0.09
fisheries.selectivity.l50.fsh3 = 25.4,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh4 = 5.53333304225713,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh4 = 0.0479999999999998,0.04,0.035,0.019,0.023,0.018,0.021,0.026,0.021,0.026,0.019,0.03,0.032,0.03,0.046,0.033,0.044,0.038,0.031,0.042
fisheries.selectivity.l50.fsh4 = 105,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh5 = 0.460174253536514,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh5 = 0.177,0.174,0.174,0.191,0.233,0.226,0.257,0.19,0.22,0.204,0.24,0.243,0.232,0.334,0.252,0.215,0.262,0.305,0.284,0.284
fisheries.selectivity.l50.fsh5 = 71.1,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh6 = 0.239265291810304,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh6 = 0.134312186460465,0.126761043,0.167595729,0.100637708,0.140840926,0.099569102,0.125064892,0.157047911,0.194994147,0.100577578,0.159308668,0.095183501,0.156144573,0.176545443,0.12007139,0.111466723,0.089019594,0.123332063,0.187668997,0.151452758
fisheries.selectivity.l50.fsh6 = 43.2,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh7 = 0.727875127121239,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh7 = 0.55,0.66,0.58,0.55,0.45,0.37,0.48,0.38,0.28,0.126,0.076,0.097,0.121,0.178,0.173,0.175,0.187,0.167,0.125,0.092
fisheries.selectivity.l50.fsh7 = 30.5,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh8 = 0.698561942283158,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh8 = 0.124999999999999,0.125,0.16,0.103,0.242,0.3,0.16,0.115,0.16,0.16,0.104,0.156,0.14,0.103,0.178,0.178,0.253,0.224,0.224,0.195
fisheries.selectivity.l50.fsh8 = 16.5,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh9 = 0.709612403489654,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh9 = 0.695,0.464,0.424,0.407,0.436,0.457,0.337,0.257,0.329,0.349,0.389,0.46,0.43,0.473,0.439,0.427,0.428,0.345,0.304,0.37
fisheries.selectivity.l50.fsh9 = 49.53,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh10 = 0.463681171848097,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh10 = 0.136972160497046,0.12585477,0.113165535,0.179605535,0.089313905,0.111463519,0.136502576,0.087851464,0.124447215,0.119613709,0.113699004,0.178837632,0.115184602,0.150608374,0.143419197,0.165126607,0.144234053,0.104214372,0.108006464,0.116355557
fisheries.selectivity.l50.fsh10 = 45,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh11 = 2.38035724863161,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh11 = 0.682788838301067,1.192490008,1.036594297,0.375527938,1.844303227,0.640762706,0.511331091,0.792215867,0.433875861,1.39196385,0.711944571,0.7872078,1.463799477,0.851496344,0.885446731,1.291371239,0.751454178,0.463285105,0.609356646,0.716952633
fisheries.selectivity.l50.fsh11 = 27.84,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh12 = 0.231695275421013,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh12 = 0.101,0.177,0.106,0.101,0.058,0.035,0.05,0.026,0.05,0.038,0.031,0.066,0.051,0.059,0.224,0.142,0.117,0.218,0.121,0.195
fisheries.selectivity.l50.fsh12 = 5,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh13 = 0.688492458182814,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh13 = 0.138,0.202,0.227,0.247,0.224,0.378,0.362,0.352,0.242,0.344,0.276,0.215,0.296,0.185,0.248,0.197,0.222,0.183,0.224,0.455
fisheries.selectivity.l50.fsh13 = 21,,,,,,,,,,,,,,,,,,,
fisheries.rate.base.fsh14 = 0.240870476193524,,,,,,,,,,,,,,,,,,,
fisheries.rate.byperiod.fsh14 = 0.175910000000001,0.1878,0.16361,0.15123,0.1758,0.18097,0.21972,0.19134,0.16115,0.16043,0.22015,0.21097,0.16686,0.12222,0.16163,0.20792,0.21792,0.19764,0.2396,0.31001
fisheries.selectivity.l50.fsh14 = 26.5,,,,,,,,,,,,,,,,,,,
